winner,loser,prob
Ecuador,Ghana,0.00413
Belgium,Japan,0.00412
Spain,New Zealand,0.00412
Belgium,Jordan,0.0041
Croatia,South Korea,0.0041
Austria,France,0.00409
Senegal,Croatia,0.00409
Qatar,Mexico,0.00408
Portugal,Iraq,0.00407
Japan,Australia,0.00407
Germany,Ecuador,0.00405
Saudi Arabia,Egypt,0.00403
Ecuador,Argentina,0.00403
South Korea,New Zealand,0.00401
Cape Verde,Iran,0.004
Uruguay,New Zealand,0.004
France,Haiti,0.00399
Norway,Turkey,0.00398
New Zealand,Czechia,0.00396
Turkey,Norway,0.00396
Morocco,Uruguay,0.00396
Uruguay,Japan,0.00394
Austria,Uzbekistan,0.00393
Senegal,Uruguay,0.00392
France,South Africa,0.00391
Portugal,Jordan,0.0039
Argentina,Bosnia and Herzegovina,0.00387
Ecuador,DR Congo,0.00387
Croatia,Netherlands,0.00386
Paraguay,Qatar,0.00386
Saudi Arabia,Iran,0.00385
Morocco,Belgium,0.00385
Portugal,Qatar,0.00383
Croatia,Brazil,0.00382
Iran,Norway,0.00381
Brazil,Turkey,0.0038
Japan,Qatar,0.00379
Australia,Saudi Arabia,0.00378
England,Jordan,0.00376
Germany,Bosnia and Herzegovina,0.00376
Ecuador,Paraguay,0.00375
Croatia,Egypt,0.00374
Turkey,Portugal,0.00373
Belgium,Sweden,0.00372
Argentina,Czechia,0.00372
Austria,Paraguay,0.0037
Croatia,Czechia,0.0037
Canada,Turkey,0.0037
Jordan,Canada,0.00367
Ecuador,Qatar,0.00366
Turkey,Austria,0.00366
Jordan,Switzerland,0.00365
Algeria,Czechia,0.00365
Germany,Iran,0.00364
Czechia,Germany,0.0036
Mexico,Ghana,0.00358
Switzerland,Paraguay,0.00358
New Zealand,Turkey,0.00354
Bosnia and Herzegovina,Austria,0.00353
Senegal,Ghana,0.00352
Colombia,Cape Verde,0.00351
Japan,Turkey,0.00351
Netherlands,Paraguay,0.0035
Iran,Senegal,0.0035
Ivory Coast,Argentina,0.00349
Uruguay,Ivory Coast,0.00347
Czechia,England,0.00346
England,Iran,0.00344
Belgium,Morocco,0.00343
England,Curaçao,0.00342
Brazil,Algeria,0.00341
Norway,Paraguay,0.00339
Egypt,Algeria,0.00338
Turkey,Spain,0.00337
Mexico,New Zealand,0.00333
New Zealand,Paraguay,0.00327
Japan,Belgium,0.00326
South Korea,Spain,0.00324
Morocco,United States,0.00322
Sweden,Qatar,0.00322
Algeria,France,0.00321
Uzbekistan,Panama,0.00321
Colombia,Saudi Arabia,0.00321
Tunisia,Morocco,0.0032
Argentina,Uzbekistan,0.00318
United States,Iraq,0.00318
Australia,Japan,0.00315
Mexico,France,0.00314
Sweden,England,0.00314
Paraguay,Canada,0.00314
Senegal,Norway,0.00313
Paraguay,Switzerland,0.00312
Qatar,Egypt,0.00311
Czechia,France,0.00311
Algeria,DR Congo,0.00311
Tunisia,Brazil,0.0031
Morocco,Croatia,0.00309
Croatia,Ivory Coast,0.00305
Paraguay,Uruguay,0.00305
Ivory Coast,Belgium,0.00304
New Zealand,Qatar,0.00304
Czechia,Ivory Coast,0.00304
Qatar,New Zealand,0.00304
Iran,Croatia,0.00303
South Korea,Portugal,0.00302
Egypt,Spain,0.00302
Paraguay,Ecuador,0.00301
Croatia,Cape Verde,0.00301
Turkey,Sweden,0.003
Cape Verde,Algeria,0.003
Ivory Coast,Czechia,0.00299
Spain,South Africa,0.00293
Germany,Egypt,0.00291
Canada,Paraguay,0.00289
Bosnia and Herzegovina,Morocco,0.00286
Tunisia,Scotland,0.00286
Ecuador,Uruguay,0.00285
Croatia,Morocco,0.00285
Japan,Uruguay,0.00284
Belgium,Ghana,0.00283
Algeria,Austria,0.00282
Austria,New Zealand,0.0028
Germany,Algeria,0.0028
Egypt,Ecuador,0.0028
Ecuador,Spain,0.00279
Ecuador,Austria,0.00279
Czechia,Uruguay,0.00278
Colombia,Curaçao,0.00276
Australia,Netherlands,0.00272
Czechia,Spain,0.00271
New Zealand,South Africa,0.0027
South Africa,New Zealand,0.0027
Norway,Croatia,0.00267
Austria,Ecuador,0.00266
Jordan,Bosnia and Herzegovina,0.00265
Austria,Argentina,0.00264
Canada,Uruguay,0.00261
England,Egypt,0.00261
Austria,Algeria,0.0026
Scotland,Morocco,0.00258
Senegal,France,0.00258
Germany,South Africa,0.00256
Japan,South Africa,0.00255
Ecuador,Ivory Coast,0.00254
Japan,Paraguay,0.00254
Paraguay,Portugal,0.00253
Norway,DR Congo,0.00253
England,Turkey,0.00252
Senegal,DR Congo,0.00251
Morocco,Turkey,0.00248
Ivory Coast,Spain,0.00248
Czechia,Austria,0.00246
Austria,Mexico,0.00244
Turkey,Czechia,0.00244
Sweden,South Africa,0.00244
DR Congo,Mexico,0.00244
England,Haiti,0.00243
South Korea,DR Congo,0.00242
Iran,France,0.00242
Senegal,Bosnia and Herzegovina,0.00241
Japan,Sweden,0.00241
United States,Curaçao,0.00241
Turkey,Netherlands,0.00241
United States,England,0.00241
Egypt,Senegal,0.00241
Algeria,Mexico,0.0024
United States,Brazil,0.0024
Haiti,Ivory Coast,0.0024
Morocco,Australia,0.00239
Bosnia and Herzegovina,Ecuador,0.00237
Mexico,Algeria,0.00237
Switzerland,DR Congo,0.00237
Ecuador,Uzbekistan,0.00237
Austria,Brazil,0.00236
Czechia,Algeria,0.00236
Ecuador,Iraq,0.00234
Bosnia and Herzegovina,Sweden,0.00234
Panama,Uzbekistan,0.00234
Paraguay,Norway,0.00233
Austria,Germany,0.00233
Austria,Netherlands,0.00233
DR Congo,Austria,0.00233
Uruguay,Jordan,0.00232
Cape Verde,Czechia,0.00231
Turkey,Japan,0.00231
Algeria,New Zealand,0.00231
Saudi Arabia,Algeria,0.0023
Netherlands,Algeria,0.00229
Paraguay,Austria,0.00227
Saudi Arabia,England,0.00226
Croatia,Saudi Arabia,0.00226
Czechia,Portugal,0.00226
Brazil,DR Congo,0.00225
Canada,Spain,0.00225
Croatia,Japan,0.00223
Ecuador,Germany,0.00223
Belgium,Iraq,0.00222
Croatia,Bosnia and Herzegovina,0.00222
Austria,South Korea,0.0022
Senegal,Austria,0.00218
Algeria,Ecuador,0.00218
Mexico,Austria,0.00216
Algeria,Uzbekistan,0.00216
Senegal,Czechia,0.00216
South Africa,United States,0.00216
Egypt,Norway,0.00216
Argentina,Panama,0.00215
Scotland,Qatar,0.00215
Switzerland,Panama,0.00214
South Korea,Colombia,0.00214
Ghana,Austria,0.00214
Scotland,South Africa,0.00214
South Korea,Croatia,0.00213
Haiti,Germany,0.00213
Ivory Coast,Bosnia and Herzegovina,0.00213
Scotland,Brazil,0.0021
Norway,Czechia,0.0021
Egypt,France,0.00209
Ivory Coast,Ecuador,0.00209
Norway,New Zealand,0.00208
Bosnia and Herzegovina,Jordan,0.00208
Czechia,Croatia,0.00208
Austria,Senegal,0.00208
Morocco,Austria,0.00208
Ghana,Canada,0.00207
Iraq,Ivory Coast,0.00206
Japan,Croatia,0.00205
Algeria,Turkey,0.00205
Germany,Iraq,0.00204
South Korea,Curaçao,0.00204
Brazil,Paraguay,0.00203
Saudi Arabia,Czechia,0.00201
Netherlands,Iran,0.002
Bosnia and Herzegovina,Turkey,0.002
Turkey,Algeria,0.00199
Australia,Iraq,0.00196
Ecuador,Algeria,0.00196
Norway,Bosnia and Herzegovina,0.00196
United States,Tunisia,0.00196
Uruguay,Bosnia and Herzegovina,0.00195
Senegal,Algeria,0.00195
Uruguay,Sweden,0.00195
France,Qatar,0.00194
Bosnia and Herzegovina,Netherlands,0.00194
Ivory Coast,Tunisia,0.00193
Algeria,Germany,0.0019
Qatar,Iran,0.0019
Sweden,Turkey,0.0019
Ecuador,New Zealand,0.00189
Croatia,England,0.00188
Bosnia and Herzegovina,Colombia,0.00187
New Zealand,South Korea,0.00187
England,Paraguay,0.00186
Sweden,Netherlands,0.00185
United States,Morocco,0.00184
Ghana,Switzerland,0.00184
Saudi Arabia,United States,0.00184
New Zealand,Cape Verde,0.00184
Czechia,Senegal,0.00183
Canada,DR Congo,0.00182
Ivory Coast,Uruguay,0.00181
Algeria,Brazil,0.00181
South Africa,Australia,0.00181
Algeria,Senegal,0.00181
Bosnia and Herzegovina,Japan,0.00179
Algeria,South Korea,0.00179
Egypt,Croatia,0.00179
Cape Verde,Australia,0.00178
South Korea,Uzbekistan,0.00177
Norway,Cape Verde,0.00177
Cape Verde,New Zealand,0.00176
Ivory Coast,Croatia,0.00175
Uruguay,Scotland,0.00175
Scotland,Portugal,0.00175
Haiti,South Korea,0.00175
Uzbekistan,Mexico,0.00174
Austria,Panama,0.00173
Saudi Arabia,Australia,0.00173
France,Norway,0.00173
Iran,Jordan,0.00172
Uzbekistan,Austria,0.00172
Brazil,Iran,0.00172
Bosnia and Herzegovina,Scotland,0.00172
Norway,Saudi Arabia,0.00171
Ghana,Algeria,0.00171
Japan,Austria,0.0017
Czechia,Colombia,0.0017
Belgium,DR Congo,0.00169
Brazil,Uzbekistan,0.00169
Paraguay,Spain,0.00169
Iran,Ivory Coast,0.00168
DR Congo,Ecuador,0.00166
Uruguay,Panama,0.00164
Turkey,South Korea,0.00164
Paraguay,Sweden,0.00162
Brazil,Egypt,0.00162
Croatia,Scotland,0.00161
Cape Verde,United States,0.00161
Haiti,Mexico,0.0016
Canada,Panama,0.0016
Australia,Curaçao,0.0016
Bosnia and Herzegovina,Brazil,0.0016
Norway,Uruguay,0.00159
Algeria,Paraguay,0.00159
Australia,Brazil,0.00159
Austria,Morocco,0.00159
Ivory Coast,Iran,0.00159
Turkey,Morocco,0.00158
Austria,Norway,0.00158
Iran,Ghana,0.00157
South Africa,Morocco,0.00155
Switzerland,Curaçao,0.00155
Norway,Senegal,0.00154
Senegal,New Zealand,0.00154
Haiti,Sweden,0.00154
Iraq,England,0.00154
Qatar,Algeria,0.00153
Canada,England,0.00152
Senegal,Cape Verde,0.0015
Austria,Japan,0.00149
Mexico,Iraq,0.00149
Ivory Coast,Egypt,0.00148
Australia,England,0.00148
Ecuador,South Africa,0.00148
Sweden,Japan,0.00148
Paraguay,Japan,0.00148
Algeria,Netherlands,0.00147
Spain,Saudi Arabia,0.00146
Sweden,Belgium,0.00145
Tunisia,Germany,0.00145
Bosnia and Herzegovina,Paraguay,0.00145
Paraguay,Netherlands,0.00145
Spain,Qatar,0.00144
South Korea,Austria,0.00144
Czechia,Turkey,0.00144
Morocco,Paraguay,0.00142
England,South Africa,0.00142
Australia,Morocco,0.00142
Senegal,Turkey,0.00141
Germany,Qatar,0.00139
Paraguay,Czechia,0.00138
Egypt,Ghana,0.00137
Belgium,Scotland,0.00137
Portugal,Curaçao,0.00136
Spain,Cape Verde,0.00136
Senegal,Saudi Arabia,0.00136
Bosnia and Herzegovina,Portugal,0.00136
South Korea,Algeria,0.00135
Sweden,Paraguay,0.00135
Morocco,Algeria,0.00135
Cape Verde,England,0.00134
Saudi Arabia,New Zealand,0.00134
Saudi Arabia,France,0.00134
Scotland,Colombia,0.00134
Portugal,South Africa,0.00134
Morocco,DR Congo,0.00134
Jordan,United States,0.00134
DR Congo,Spain,0.00133
Turkey,Scotland,0.00133
Senegal,Tunisia,0.00133
Czechia,Norway,0.00133
Netherlands,Egypt,0.00132
Germany,DR Congo,0.00132
Iran,Germany,0.00132
Jordan,Australia,0.00132
DR Congo,South Korea,0.00131
Ecuador,Saudi Arabia,0.00131
South Korea,Turkey,0.00129
Croatia,Sweden,0.00128
Croatia,Turkey,0.00127
United States,Scotland,0.00127
Scotland,Spain,0.00126
Paraguay,Algeria,0.00125
Ghana,Senegal,0.00125
DR Congo,Uruguay,0.00124
Australia,Tunisia,0.00123
Brazil,Saudi Arabia,0.00123
Germany,Saudi Arabia,0.00122
Algeria,Norway,0.00121
Belgium,Uzbekistan,0.00121
Paraguay,South Korea,0.00121
Turkey,Mexico,0.00121
Ivory Coast,DR Congo,0.0012
Canada,Curaçao,0.00118
Tunisia,Ivory Coast,0.00118
South Africa,Netherlands,0.00118
New Zealand,Saudi Arabia,0.00117
France,DR Congo,0.00117
South Africa,Japan,0.00117
Qatar,Belgium,0.00115
Jordan,Qatar,0.00115
Ivory Coast,Ghana,0.00115
Uzbekistan,Uruguay,0.00114
DR Congo,Norway,0.00114
Uzbekistan,South Korea,0.00114
Ghana,Spain,0.00114
Algeria,Panama,0.00114
Austria,Ivory Coast,0.00113
Ecuador,Cape Verde,0.00113
Qatar,Austria,0.00112
Switzerland,Tunisia,0.00112
Ghana,Ecuador,0.00112
DR Congo,Algeria,0.00112
Japan,Iran,0.00111
Sweden,Portugal,0.00111
Turkey,Croatia,0.00111
Brazil,Iraq,0.0011
Switzerland,Uzbekistan,0.0011
South Africa,Scotland,0.00109
Tunisia,Norway,0.00109
Mexico,Turkey,0.00109
Turkey,Senegal,0.00108
Bosnia and Herzegovina,Ivory Coast,0.00108
South Korea,Ghana,0.00108
Scotland,Argentina,0.00107
Turkey,Brazil,0.00107
Scotland,Turkey,0.00107
Ghana,Uruguay,0.00107
Germany,Ivory Coast,0.00107
Egypt,Ivory Coast,0.00106
Algeria,Ivory Coast,0.00106
Germany,Ghana,0.00106
Turkey,Cape Verde,0.00106
Senegal,Uzbekistan,0.00104
Haiti,Japan,0.00104
Switzerland,Iraq,0.00103
Mexico,Argentina,0.00103
DR Congo,Senegal,0.00103
Croatia,New Zealand,0.00103
England,Tunisia,0.00103
Turkey,Saudi Arabia,0.00103
United States,DR Congo,0.00102
Sweden,Colombia,0.00102
South Africa,Sweden,0.00101
Czechia,Paraguay,0.00101
Senegal,Paraguay,0.00101
South Korea,Argentina,0.001
Ivory Coast,Qatar,0.00098
Canada,Iraq,0.00098
South Africa,Brazil,0.00096
Uzbekistan,Algeria,0.00095
Switzerland,Cape Verde,0.00095
Uzbekistan,Ecuador,0.00095
DR Congo,Switzerland,0.00094
Senegal,Qatar,0.00093
Algeria,Morocco,0.00093
South Korea,Paraguay,0.00092
Ivory Coast,Austria,0.00092
South Korea,Tunisia,0.00092
Austria,South Africa,0.00091
Czechia,Haiti,0.00091
United States,Ghana,0.00091
Germany,Uzbekistan,0.00091
Uzbekistan,Spain,0.00091
Scotland,Croatia,0.00091
Norway,Algeria,0.00091
Uruguay,South Africa,0.00091
Belgium,Egypt,0.00091
Germany,Cape Verde,0.0009
Ecuador,Haiti,0.0009
Switzerland,Saudi Arabia,0.00089
Morocco,Uzbekistan,0.00089
Norway,Austria,0.00088
Ivory Coast,Algeria,0.00088
Scotland,United States,0.00088
Ghana,Norway,0.00088
Sweden,Spain,0.00087
Netherlands,DR Congo,0.00087
Cape Verde,France,0.00087
Norway,Uzbekistan,0.00087
Algeria,Japan,0.00087
Norway,Qatar,0.00086
Haiti,Netherlands,0.00086
Paraguay,Cape Verde,0.00086
Egypt,Germany,0.00085
Canada,Tunisia,0.00085
Bosnia and Herzegovina,Ghana,0.00084
Egypt,Jordan,0.00084
DR Congo,Canada,0.00084
Ghana,Mexico,0.00084
Croatia,Qatar,0.00084
Belgium,Iran,0.00083
Paraguay,Morocco,0.00083
Japan,Algeria,0.00083
Ivory Coast,South Africa,0.00082
Paraguay,Senegal,0.00082
Argentina,Jordan,0.00082
New Zealand,Mexico,0.00081
Jordan,Iran,0.00081
Jordan,Belgium,0.0008
Iraq,United States,0.0008
Qatar,Morocco,0.0008
United States,Uzbekistan,0.0008
Brazil,Ghana,0.0008
Morocco,Iran,0.0008
Scotland,Uruguay,0.00079
France,Ghana,0.00079
Iran,Iraq,0.00079
Argentina,Qatar,0.00078
Paraguay,Scotland,0.00078
Cape Verde,Croatia,0.00078
Scotland,DR Congo,0.00077
Tunisia,United States,0.00077
Ghana,Egypt,0.00077
Brazil,Cape Verde,0.00076
Austria,Scotland,0.00076
Netherlands,Uzbekistan,0.00076
Mexico,Paraguay,0.00075
Qatar,Turkey,0.00075
Turkey,England,0.00075
Iraq,Ecuador,0.00074
Scotland,Paraguay,0.00074
Saudi Arabia,Portugal,0.00074
Saudi Arabia,Croatia,0.00074
France,Curaçao,0.00074
Croatia,Paraguay,0.00074
Sweden,Uruguay,0.00073
France,Uzbekistan,0.00073
Colombia,South Africa,0.00073
Canada,Uzbekistan,0.00073
Netherlands,Saudi Arabia,0.00072
Australia,DR Congo,0.00071
Austria,Sweden,0.00071
Iran,Netherlands,0.00071
Iran,England,0.00071
DR Congo,Ivory Coast,0.00071
Japan,Egypt,0.00069
New Zealand,Colombia,0.00069
Ecuador,Tunisia,0.00069
Egypt,England,0.00068
Cape Verde,Portugal,0.00068
Iran,Japan,0.00068
Australia,Ghana,0.00068
Ivory Coast,Uzbekistan,0.00068
Canada,Cape Verde,0.00068
Iran,Sweden,0.00067
Panama,Switzerland,0.00067
Saudi Arabia,Colombia,0.00067
Croatia,Jordan,0.00067
Belgium,Panama,0.00067
Scotland,Australia,0.00067
New Zealand,Algeria,0.00066
Iraq,Colombia,0.00066
Scotland,Belgium,0.00066
Iran,DR Congo,0.00066
Qatar,Sweden,0.00066
Ghana,Bosnia and Herzegovina,0.00065
Tunisia,Australia,0.00065
Ecuador,Panama,0.00065
Bosnia and Herzegovina,Senegal,0.00065
Algeria,South Africa,0.00064
Sweden,Croatia,0.00064
Australia,Scotland,0.00064
Paraguay,Croatia,0.00063
Paraguay,Saudi Arabia,0.00062
Paraguay,Brazil,0.00062
Qatar,Netherlands,0.00062
Scotland,Uzbekistan,0.00061
Czechia,DR Congo,0.00061
Panama,Canada,0.00061
Bosnia and Herzegovina,Croatia,0.00061
Bosnia and Herzegovina,Germany,0.0006
Sweden,Egypt,0.0006
Uzbekistan,Norway,0.0006
Paraguay,Mexico,0.0006
Jordan,Egypt,0.0006
Iran,Brazil,0.0006
Qatar,Paraguay,0.0006
Japan,Iraq,0.0006
Morocco,Egypt,0.0006
Ghana,Iran,0.00059
Croatia,Iraq,0.00059
Uruguay,Qatar,0.00059
Algeria,Scotland,0.00059
Turkey,DR Congo,0.00059
Belgium,Tunisia,0.00059
Ivory Coast,Germany,0.00058
Egypt,Iraq,0.00058
Mexico,Tunisia,0.00058
Germany,New Zealand,0.00057
Ghana,Ivory Coast,0.00057
South Africa,Ecuador,0.00057
Panama,Austria,0.00057
Qatar,Jordan,0.00057
New Zealand,Austria,0.00057
Spain,Tunisia,0.00056
Japan,DR Congo,0.00056
Canada,Saudi Arabia,0.00055
Ivory Coast,Saudi Arabia,0.00055
Netherlands,Iraq,0.00055
Sweden,Argentina,0.00055
Saudi Arabia,Senegal,0.00055
Tunisia,South Korea,0.00055
Tunisia,Switzerland,0.00055
New Zealand,Portugal,0.00054
South Africa,Saudi Arabia,0.00054
Tunisia,Senegal,0.00054
Senegal,Panama,0.00054
Morocco,Ghana,0.00054
Curaçao,Senegal,0.00054
DR Congo,Saudi Arabia,0.00053
Turkey,Tunisia,0.00053
New Zealand,Uruguay,0.00053
South Africa,Ivory Coast,0.00052
Qatar,Ecuador,0.00052
Panama,Algeria,0.00051
Curaçao,Norway,0.00051
DR Congo,Brazil,0.0005
Ghana,Argentina,0.0005
Norway,South Africa,0.0005
Norway,Haiti,0.0005
Senegal,South Africa,0.0005
DR Congo,Belgium,0.0005
South Korea,Iraq,0.0005
Belgium,Curaçao,0.0005
Croatia,South Africa,0.00049
Netherlands,Cape Verde,0.00049
DR Congo,Cape Verde,0.00049
Iraq,Portugal,0.00049
Uzbekistan,Ivory Coast,0.00048
DR Congo,Scotland,0.00048
Sweden,Iran,0.00048
South Africa,Germany,0.00047
Colombia,Tunisia,0.00047
Ghana,South Korea,0.00047
Switzerland,Haiti,0.00047
Tunisia,Canada,0.00046
Scotland,Austria,0.00046
Cape Verde,DR Congo,0.00046
Netherlands,Ghana,0.00046
South Africa,France,0.00046
Turkey,South Africa,0.00045
Uzbekistan,Scotland,0.00045
Ghana,Belgium,0.00045
Uzbekistan,Cape Verde,0.00045
Qatar,Scotland,0.00045
Morocco,Iraq,0.00045
Ivory Coast,Cape Verde,0.00045
Iraq,Australia,0.00045
England,Bosnia and Herzegovina,0.00044
Qatar,Brazil,0.00044
Iran,Panama,0.00044
South Africa,Cape Verde,0.00044
Uzbekistan,Senegal,0.00044
Uzbekistan,Switzerland,0.00043
Portugal,Tunisia,0.00043
Cape Verde,Colombia,0.00043
Uruguay,Cape Verde,0.00043
Saudi Arabia,DR Congo,0.00043
Iran,Morocco,0.00042
Jordan,Uruguay,0.00042
DR Congo,Morocco,0.00042
Australia,Uzbekistan,0.00042
Paraguay,South Africa,0.00042
Bosnia and Herzegovina,France,0.00042
DR Congo,Australia,0.00042
Czechia,Ghana,0.00041
Senegal,Haiti,0.00041
Qatar,Japan,0.00041
Mexico,Panama,0.00041
Ghana,New Zealand,0.00041
Czechia,Argentina,0.00041
Curaçao,South Korea,0.00041
Cape Verde,South Africa,0.00041
New Zealand,Argentina,0.0004
Iran,Belgium,0.0004
Morocco,Saudi Arabia,0.0004
Panama,Uruguay,0.0004
Bosnia and Herzegovina,Norway,0.0004
Jordan,Ghana,0.0004
DR Congo,United States,0.00039
Saudi Arabia,South Africa,0.00038
Saudi Arabia,Norway,0.00038
DR Congo,Argentina,0.00038
Sweden,Austria,0.00038
Saudi Arabia,Ecuador,0.00038
Paraguay,England,0.00037
Cape Verde,Canada,0.00037
Scotland,Iraq,0.00037
Brazil,Curaçao,0.00037
Scotland,Algeria,0.00037
Egypt,Sweden,0.00037
Ivory Coast,New Zealand,0.00037
Cape Verde,Senegal,0.00037
Jordan,Colombia,0.00037
Czechia,Tunisia,0.00037
Cape Verde,Bosnia and Herzegovina,0.00037
Egypt,DR Congo,0.00037
Argentina,South Africa,0.00037
Japan,Ghana,0.00037
Saudi Arabia,Switzerland,0.00036
Iraq,Belgium,0.00036
Norway,Panama,0.00036
Sweden,Iraq,0.00036
Algeria,Sweden,0.00036
Cape Verde,Ivory Coast,0.00035
Egypt,Belgium,0.00035
Saudi Arabia,Paraguay,0.00035
Egypt,Japan,0.00035
DR Congo,Czechia,0.00035
Egypt,Netherlands,0.00035
Ghana,Iraq,0.00035
Uzbekistan,Saudi Arabia,0.00035
Japan,Uzbekistan,0.00035
Uruguay,Saudi Arabia,0.00035
Tunisia,Mexico,0.00035
Iraq,Germany,0.00034
Paraguay,Tunisia,0.00034
Tunisia,Haiti,0.00034
Saudi Arabia,Turkey,0.00034
Ghana,Saudi Arabia,0.00034
Uzbekistan,Morocco,0.00034
Uzbekistan,Belgium,0.00034
Ghana,Germany,0.00034
Iran,Egypt,0.00034
Cape Verde,Uzbekistan,0.00033
Panama,Spain,0.00033
Qatar,Ivory Coast,0.00033
Cape Verde,Ghana,0.00033
Iran,Uzbekistan,0.00033
New Zealand,Senegal,0.00033
Ghana,Cape Verde,0.00033
Ecuador,Jordan,0.00032
Scotland,Ghana,0.00032
Jordan,Cape Verde,0.00032
Egypt,Brazil,0.00032
United States,Turkey,0.00032
Bosnia and Herzegovina,Curaçao,0.00032
Morocco,Cape Verde,0.00032
New Zealand,Ghana,0.00031
Netherlands,Tunisia,0.00031
Japan,Cape Verde,0.00031
Jordan,New Zealand,0.00031
Paraguay,DR Congo,0.00031
Qatar,Colombia,0.00031
Saudi Arabia,Bosnia and Herzegovina,0.00031
Bosnia and Herzegovina,Uruguay,0.0003
Panama,Belgium,0.0003
Spain,Iraq,0.0003
Egypt,Uzbekistan,0.0003
United States,Panama,0.0003
Panama,Ecuador,0.0003
Argentina,Tunisia,0.0003
Cape Verde,Norway,0.0003
Uzbekistan,Canada,0.0003
DR Congo,Germany,0.0003
Paraguay,Jordan,0.0003
New Zealand,Ecuador,0.0003
Turkey,United States,0.00029
Uzbekistan,United States,0.00029
Cape Verde,Turkey,0.00029
Egypt,Panama,0.00029
Jordan,Portugal,0.00029
Iraq,Ghana,0.00029
Turkey,Jordan,0.00029
Saudi Arabia,Ghana,0.00029
South Africa,Austria,0.00029
Iraq,Canada,0.00029
Czechia,Uzbekistan,0.00029
DR Congo,Bosnia and Herzegovina,0.00029
Ghana,United States,0.00029
Cape Verde,Ecuador,0.00029
England,Ghana,0.00028
Panama,Norway,0.00028
Bosnia and Herzegovina,Cape Verde,0.00028
Saudi Arabia,Canada,0.00028
Ghana,Jordan,0.00028
Tunisia,Czechia,0.00028
DR Congo,Japan,0.00028
Senegal,Jordan,0.00028
Uzbekistan,Czechia,0.00028
Iraq,Iran,0.00027
Argentina,Iraq,0.00027
Uzbekistan,Brazil,0.00027
Ghana,Qatar,0.00027
Colombia,Uzbekistan,0.00027
Sweden,Algeria,0.00027
Japan,Saudi Arabia,0.00027
Czechia,Curaçao,0.00027
Bosnia and Herzegovina,Saudi Arabia,0.00027
South Africa,Spain,0.00026
Panama,Egypt,0.00026
Haiti,Czechia,0.00026
Bosnia and Herzegovina,Tunisia,0.00026
Tunisia,Bosnia and Herzegovina,0.00026
Saudi Arabia,Ivory Coast,0.00026
United States,Australia,0.00025
Saudi Arabia,Jordan,0.00025
Tunisia,Turkey,0.00025
Czechia,Jordan,0.00025
Portugal,DR Congo,0.00025
Ghana,Australia,0.00025
Panama,Iran,0.00025
New Zealand,Norway,0.00024
Qatar,Ghana,0.00024
Cape Verde,Jordan,0.00024
DR Congo,Egypt,0.00024
Australia,Turkey,0.00024
Iran,Curaçao,0.00024
South Africa,England,0.00024
Egypt,Iran,0.00024
Uzbekistan,Germany,0.00023
Canada,Haiti,0.00023
South Africa,Algeria,0.00023
Paraguay,Curaçao,0.00023
New Zealand,Ivory Coast,0.00023
France,Panama,0.00023
DR Congo,Iran,0.00023
Iraq,Egypt,0.00022
Morocco,Curaçao,0.00022
England,New Zealand,0.00022
Australia,United States,0.00022
Norway,Spain,0.00022
Jordan,England,0.00022
Bosnia and Herzegovina,Panama,0.00022
Turkey,Uzbekistan,0.00022
Turkey,Australia,0.00022
Uzbekistan,Egypt,0.00022
Uruguay,Iraq,0.00022
Tunisia,Ecuador,0.00022
Cape Verde,Switzerland,0.00022
Haiti,England,0.00021
Australia,Panama,0.00021
Cape Verde,Qatar,0.00021
Czechia,South Korea,0.00021
Switzerland,Canada,0.00021
Germany,Panama,0.00021
Uzbekistan,Australia,0.00021
Egypt,Morocco,0.00021
Uzbekistan,Iran,0.00021
Ghana,Morocco,0.00021
New Zealand,France,0.00021
Colombia,DR Congo,0.00021
Netherlands,Curaçao,0.00021
Curaçao,Australia,0.00021
DR Congo,Turkey,0.00021
Cape Verde,Paraguay,0.00021
Sweden,DR Congo,0.00021
Saudi Arabia,Germany,0.00021
Tunisia,Paraguay,0.0002
Haiti,France,0.0002
Panama,Argentina,0.0002
Japan,Curaçao,0.0002
South Africa,Turkey,0.0002
Iran,Scotland,0.0002
Sweden,Ghana,0.0002
Iraq,Croatia,0.0002
Scotland,Iran,0.0002
Saudi Arabia,Morocco,0.00019
Iraq,Brazil,0.00019
Turkey,Curaçao,0.00019
Iraq,Mexico,0.00019
Bosnia and Herzegovina,Iraq,0.00019
DR Congo,Netherlands,0.00018
Uzbekistan,Netherlands,0.00018
South Africa,Paraguay,0.00018
Brazil,Panama,0.00018
Portugal,Uzbekistan,0.00018
Iraq,South Korea,0.00018
Saudi Arabia,Brazil,0.00018
New Zealand,Croatia,0.00018
Turkey,Ghana,0.00017
Turkey,Iraq,0.00017
Panama,Bosnia and Herzegovina,0.00017
Australia,Paraguay,0.00017
Qatar,Germany,0.00017
South Korea,Czechia,0.00017
Norway,Argentina,0.00017
Paraguay,Australia,0.00017
Curaçao,Switzerland,0.00017
Qatar,Senegal,0.00017
New Zealand,Jordan,0.00017
Jordan,Croatia,0.00017
Mexico,Jordan,0.00017
Saudi Arabia,Qatar,0.00017
Saudi Arabia,Japan,0.00017
Scotland,Egypt,0.00017
Uzbekistan,Argentina,0.00017
Saudi Arabia,Uzbekistan,0.00016
DR Congo,Iraq,0.00016
Panama,Mexico,0.00016
